Message,Label
cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor then he started guessing who i was wif n he finally guessed darren lor,ham
goodmorning today i am late for 2hrs because of back pain,ham
can ì send me a copy of da report,ham
i can ask around but theres not a lot in terms of mids up here,ham
18 days to euro2004 kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to 83222,spam
sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuff42moro and that includes all my time sheets and that sorry,ham
mum ive sent you many many messages since i got here i just want to know that you are actually getting them do enjoy the rest of your day,ham
but you dint in touch with me,ham
i couldnt say no as he is a dying man and i feel sad for him so i will go and i just wanted you to know i would probably be gone late into your night,ham
what todaysundaysunday is holidayso no work,ham
yes the only place in town to meet exciting adult singles is now in the uk txt chat to 86688 now 150pmsg,spam
thanx 4 sending me home,ham
ok shell be ok i guess,ham
can i meet ì at 5 as 4 where depends on where ì wan 2 in lor,ham
now press conference da,ham
at home by the way,ham
splashmobile choose from 1000s of gr8 tones each wk this is a subscrition service with weekly tones costing 300p u have one credit kick back and enjoy,spam
yar i wanted 2 scold u yest but late already i where got zhong se qing you if u ask me b4 he ask me then ill go out w u all lor n u still can act so real,ham
how many licks does it take to get to the center of a tootsie pop,ham
oh i will get paid the most outstanding one is for a commercial i did for hasbroin august they made us jump through so many hoops to get paid still not,ham
i can probably come by everybodys done around ltgt right,ham
3 free tarot texts find out about your love life now try 3 for free text chance to 85555 16 only after 3 free msgs å£150 each,spam
ìï predict wat time ìll finish buying,ham
lol yes but it will add some spice to your day,ham
great comedycant stop laughing da,ham
cool text me when youre ready,ham
its that time of the week again ryan,ham
where is that one day training,ham
derp which is worse a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with,ham
maybe say hi to and find out if got his card great escape or wetherspoons,ham
staffsciencenusedusgphyhcmkteachingpc1323,ham
sexy singles are waiting for you text your age followed by your gender as wither m or f eg23f for gay men text your age followed by a g eg23g,spam
im fine hope you are good do take care,ham
aight well keep me informed,ham
o guess they both got screwd,ham
i want to sent ltgt mesages today thats y sorry if i hurts,ham
ive told you everything will stop just dont let her get dehydrated,ham
oh really did you make it on air whats your talent,ham
no screaming means shouting,ham
purity of friendship between two is not about smiling after reading the forwarded messageits about smiling just by seeing the name gud evng,ham
bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,ham
sfine anytime all the best with it,ham
oh a half hour is much longer in syria than canada eh wow you must get so much more work done in a day than us with all that extra time grins,ham
the house is on the water with a dock a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel,ham
sbut he had some luck2 catches put down,ham
genius whats up how your brother pls send his number to my skype,ham
he is world famamus,ham
hiya had a good day have you spoken to since the weekend,ham
oktake careumma to you too,ham
ou are guaranteed the latest nokia phone a 40gb ipod mp3 player or a å£500 prize txt word collect to no 83355 ibhltd ldnw15h 150pmtmsgrcvd18,spam
i was up all night too worrying about this appt its a shame we missed a girls night out with quizzes popcorn and you doing my hair,ham
i borrow ur bag ok,ham
sez hows u de arab boy hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx,ham
no i dont want to hear anything,ham
u guys never invite me anywhere,ham
private your 2004 account statement for 0784987 shows 786 unredeemed bonus points to claim call 08719180219 identifier code 45239 expires 060505,spam
private your 2003 account statement for shows 800 unredeemed sim points call 08715203685 identifier code4xx26 expires 131004,spam
uncle boye i need movies oh guide me plus you know torrents are not particularly legal here and the system is slowing down what should i do have a gr8 day plus have you started cos i dont meet you online how was the honey moon,ham
busy here trying to finish for new year i am looking forward to finally meeting you,ham
u sick still can go shopping,ham
goal arsenal 4 henry 7 v liverpool 2 henry scores with a simple shot from 6 yards from a pass by bergkamp to give arsenal a 2 goal margin after 78 mins,spam
getting tickets 4 walsall tue 6 th march my mate is getting me them on sat ill pay my treat want 2 go txt bak terry,ham
i wont do anything de,ham
alright if youre sure let me know when youre leaving,ham
urgent we are trying to contact u todays draw shows that you have won a å£2000 prize guaranteed call 09058094507 from land line claim 3030 valid 12hrs only,spam
urgent your mobile no 07808726822 was awarded a å£2000 bonus caller prize on 020903 this is our 2nd attempt to contact you call 08718729758 box95qu,spam
awesome text me when youre restocked,ham
wat so late still early mah or we juz go 4 dinner lor aiya i dunno,ham
gud gudk chikku tke care sleep well gud nyt,ham
mmmmmm i love youso much ahmad i cant wait for this year to begin as every second takes me closer to being at your side happy new year my love,ham
hm good morning headache anyone,ham
oh is it send me the address,ham
free camera phones with linerental from 449month with 750 cross ntwk mins 12 price txt bundle deals also avble call 08001950382 or call2optoutj mf,spam
oops my phone died and i didnt even know yeah i like it better,ham
i thk 50 shd be ok he said plus minus 10 did ì leave a line in between paragraphs,ham
unni thank you dear for the rechargerakhesh,ham
when you came to hostel,ham
i went to ur hon lab but no one is there,ham
to the wonderful okors have a great month we cherish you guys and wish you well each day mojibiola,ham
you were supposed to wake me up gt,ham
so anyways you can just go to your gym or whatever my love smiles i hope your ok and having a good day babe i miss you so much already,ham
k ill be sure to get up before noon and see whats what,ham
tiwary to rcbbattle between bang and kochi,ham
can you use foreign stamps for whatever you send them off for,ham
what was she looking for,ham
did u find out what time the bus is at coz i need to sort some stuff out,ham
i am waiting for your call sir,ham
anything,ham
ok cool see ya then,ham
omw back to tampa from west palm you hear what happened,ham
i hope your pee burns tonite,ham
here is my new address applespairsall that malarky,ham
sorry light turned green i meant another friend wanted ltgt worth but he may not be around,ham
how izzit still raining,ham
whats nannys address,ham
i aint answerin no phone at what is actually a pretty reasonable hour but im sleepy,ham
sitting in mu waiting for everyone to get out of my suite so i can take a shower,ham
get a brand new mobile phone by being an agent of the mob plus loads more goodies for more info just text mat to 87021,spam
do you want a new video handset 750 anytime any network mins half price line rental camcorder reply or call 08000930705 for delivery tomorrow,spam
also hi wesley howve you been,ham
let me know how to contact you ive you settled in a room lets know you are ok,ham
no da if you run that it activate the full version da,ham
sorry i cant take your call right now it so happens that there r 2waxsto do wat you want she can come and ill get her medical insurance and shell be able to deliver and have basic care im currently shopping for the right medical insurance for her so just give me til friday morning thats when ill see the major person that can guide me to the right insurance,ham
pls confirm the time to collect the cheque,ham
nah im goin 2 the wrks with j wot bout u,ham
my computer just fried the only essential part we dont keep spares of because my fucking idiot roommates looovvve leaving the thing running on full ltgt 7,ham
if you have belive me come to my home,ham
juz now havent woke up so a bit blur blur can dad went out liao i cant cum now oso,ham
quite late lar ard 12 anyway i wun b drivin,ham
dear got bus directly to calicut,ham
this is wishing you a great day moji told me about your offer and as always i was speechless you offer so easily to go to great lengths on my behalf and its stunning my exam is next friday after that i will keep in touch more sorry,ham
did he just say somebody is named tampa,ham
hey thk we juz go accordin to wat we discussed yest lor except no kb on sun cos theres nt much lesson to go if we attend kb on sat,ham
i wish things were different i wonder when i will be able to show you how much i value you pls continue the brisk walks no drugs without askin me please and find things to laugh about i love you dearly,ham
wat r u doing now,ham
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,spam
ur balance is now å£600 next question complete the landmark big a bob b barry or c ben text a b or c to 83738 good luck,spam
no my mum went 2 dentist,ham
went to ganesh dress shop,ham
heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams,ham
nothing smsing u n xy lor sorry lor da guys neva c u in person but they sort of know u lor so u wan 2 meet them xy ask me 2 bring u along 4 our next meeting,ham
im tired of arguing with you about this week after week do what you want and from now on ill do the same,ham
and very importantly all we discuss is between u and i only,ham
when can ì come out,ham
you should get more chicken broth if you want ramen unless theres some i dont know about,ham
x2 ltgt are you going to get that,ham
have a nice day my dear,ham
wot u up 2 u weirdo,ham
thanks honey but still havent heard anything i will leave it a bit longer so not 2 crowd him and will try later great advice thanks hope cardiff is still there,ham
hope things went well at doctors reminds me i still need 2godid u c d little thing i left in the lounge,ham
which channel,ham
me n him so funny,ham
is that on the telly no its brdget jones,ham
nope but ill b going 2 sch on fri quite early lor cos mys sis got paper in da morn,ham
get the door im here,ham
pls she needs to dat slowly or she will vomit more,ham
kdo it at evening daurgent,ham
haha figures well i found the piece and priscillas bowl,ham
come to me slave your doing it again going into your shell and unconsciously avoiding me you are making me unhappy,ham
ok thanx gd nite 2 ì too,ham
hey you told your name to gautham ah,ham
